Date,Visitor,Home,Location
08/18/2022,Underwood,Council Bluffs Lewis Central,1
08/19/2022,Davenport Assumption,Independence,1
08/19/2022,Des Moines North,Dallas Center-Grimes,1
08/19/2022,Garwin GMG,Janesville,1
08/19/2022,Huxley Ballard,Winterset,1
08/19/2022,Marengo Iowa Valley,Montezuma,1
08/19/2022,Maynard West Central,Dunkerton,1
08/19/2022,Moravia,New London,1
08/19/2022,Panora Panorama,Perry,1
08/19/2022,Riceville,Colo-NESCO,1
08/19/2022,Sioux City East,Glenwood,1
08/19/2022,Sioux City West,Council Bluffs Jefferson,1
08/20/2022,Audubon,Winfield-Mount Union,0
08/20/2022,Liberty Center Southeast Warren,Wayland WACO,0
08/20/2022,Murray,Bussey Twin Cedars,1
08/25/2022,Harlan,Council Bluffs Lewis Central,1
08/25/2022,Iowa City West,Cedar Rapids Kennedy,1
08/25/2022,Sioux City North,South Sioux City NE,1
08/26/2022,Adel ADM,Gilbert,1
08/26/2022,Afton East Union,Murray,1
08/26/2022,Akron-Westfield,Lawton-Bronson,1
08/26/2022,Alburnett,Troy Mills North Linn,1
08/26/2022,Algona,Emmetsburg,1
08/26/2022,Alleman North Polk,Dallas Center-Grimes,1
08/26/2022,Alta-Aurelia,Onawa West Monona,1
08/26/2022,Anamosa,Mount Vernon,1
08/26/2022,Ankeny,Waukee,1
08/26/2022,Aplington-Parkersburg,LaPorte City Union,1
08/26/2022,Atlantic,Glenwood,1
08/26/2022,Baxter,Colo-NESCO,1
08/26/2022,Bedford,Lamoni,1
08/26/2022,Belle Plaine,Traer North Tama,1
08/26/2022,Belmond-Klemme,Ackley AGWSR,1
08/26/2022,Bettendorf,Urbandale,1
08/26/2022,Bondurant-Farrar,Huxley Ballard,1
08/26/2022,Boyden-Hull-Rock Valley,Rock Rapids Central Lyon-George-Little Rock,1
08/26/2022,Brooklyn BGM,Marengo Iowa Valley,1
08/26/2022,Burlington,Washington,1
08/26/2022,Bussey Twin Cedars,Thornburg Tri-County,1
08/26/2022,Calmar South Winneshiek,West Union North Fayette Valley,1
08/26/2022,Camanche,Dyersville Beckman,1
08/26/2022,Carlisle,Winterset,1
