Date,Visitor,Visitor Score,Home,Home Score,Overtimes
08-18-2022,Underwood,20,Council Bluffs Lewis Central,35,0
08-19-2022,Riceville,34,Colo-NESCO,42,1
08-19-2022,Des Moines North,0,Dallas Center-Grimes,41,0
08-19-2022,Davenport Assumption,26,Independence,7,0
08-19-2022,Huxley Ballard,29,Winterset,7,0
08-19-2022,Garwin GMG,0,Janesville,56,0
08-19-2022,Maynard West Central,44,Dunkerton,6,0
08-19-2022,Marengo Iowa Valley,36,Montezuma,33,0
08-19-2022,Moravia,38,New London,26,0
08-19-2022,Panora Panorama,39,Perry,21,0
08-19-2022,Sioux City East,50,Glenwood,33,0
08-19-2022,Sioux City West,46,Council Bluffs Jefferson,20,0
08-20-2022,Murray,62,Bussey Twin Cedars,6,0
08-20-2022,Liberty Center Southeast Warren,20,Wayland WACO,42,0
08-20-2022,Audubon,36,Winfield-Mount Union,68,0
08-25-2022,Iowa City West,19,Cedar Rapids Kennedy,28,0
08-25-2022,Harlan,27,Council Bluffs Lewis Central,30,0
08-25-2022,Sioux City North,44,South Sioux City NE,0,0
08-26-2022,Belmond-Klemme,8,Ackley AGWSR,36,0
08-26-2022,Adel ADM,43,Gilbert,14,0
08-26-2022,Afton East Union,35,Murray,0,0
08-26-2022,Eddyville-Blakesburg-Fremont,0,Albia,20,0
08-26-2022,Alburnett,16,Troy Mills North Linn,13,0
08-26-2022,Algona,39,Emmetsburg,26,0
08-26-2022,Janesville,6,Algona Garrigan,52,0
08-26-2022,Alleman North Polk,20,Dallas Center-Grimes,16,0
08-26-2022,Alta-Aurelia,28,Onawa West Monona,0,0
08-26-2022,Marshalltown,17,Ames,33,0
08-26-2022,Tabor Fremont-Mills,25,Anita CAM,26,0
08-26-2022,Ankeny,26,Waukee,7,0
08-26-2022,Aplington-Parkersburg,48,LaPorte City Union,14,0
08-26-2022,Manning IKM-Manning,0,Avoca AHSTW,32,0
08-26-2022,Baxter,50,Colo-NESCO,8,0
08-26-2022,Bedford,76,Lamoni,6,0
08-26-2022,Bondurant-Farrar,36,Huxley Ballard,7,0
08-26-2022,Garner-Hayfield-Ventura,8,Britt West Hancock,32,0
08-26-2022,Brooklyn BGM,78,Marengo Iowa Valley,74,0
08-26-2022,Carlisle,35,Winterset,18,0
08-26-2022,Carroll,28,Denison-Schleswig,0,0
08-26-2022,Logan-Magnolia,12,Carroll Kuemper,34,0
08-26-2022,Monticello,13,Cascade Western Dubuque,21,0
08-26-2022,Johnston,0,Cedar Falls,14,0
08-26-2022,Cedar Rapids Jefferson,6,Cedar Rapids Washington,47,0
08-26-2022,Cedar Rapids Xavier,31,Epworth Western Dubuque,14,0
08-26-2022,Vinton-Shellsburg,7,Center Point-Urbana,34,0
08-26-2022,Chariton,0,Centerville,24,0
08-26-2022,Lone Tree,21,Central City,44,0
08-26-2022,Eagle Grove,20,Clarion-Goldfield-Dows,48,0
08-26-2022,New London,24,Clarksville,38,0
08-26-2022,Clear Lake,42,Iowa Falls-Alden,0,0
08-26-2022,Woodward Academy,28,Collins-Maxwell,69,0
08-26-2022,Columbus Junction,55,Letts Louisa-Muscatine,14,0
08-26-2022,LeGrand East Marshall,14,Conrad BCLUW,20,1
08-26-2022,Leon Central Decatur,11,Corning Southwest Valley,17,0
08-26-2022,Council Bluffs Jefferson,6,Council Bluffs Lincoln,22,0
08-26-2022,Cresco Crestwood,26,Decorah,14,0
08-26-2022,Clarinda,12,Creston-Orient-Macksburg,28,0
08-26-2022,Davenport West,20,Clinton,14,0
08-26-2022,Stanwood North Cedar,6,Delhi Maquoketa Valley,46,0
08-26-2022,Denver,25,Fairbank Wapsie Valley,20,0
08-26-2022,Des Moines Grand View Christian,56,Garwin GMG,8,0
08-26-2022,Sioux City West,12,Des Moines Lincoln,49,0
08-26-2022,Des Moines North,30,Des Moines Hoover,6,0
08-26-2022,Des Moines Roosevelt,40,Des Moines East,12,0
08-26-2022,Davenport Central,0,DeWitt Central Clinton,46,0
08-26-2022,Waterloo Columbus,14,Dike-New Hartford,42,0
08-26-2022,Dubuque Hempstead,13,Dubuque Senior,42,0
08-26-2022,Dubuque Wahlert,31,Manchester West Delaware,14,0
08-26-2022,Correctionville River Valley,6,Dunlap Boyer Valley,42,0
08-26-2022,Durant,38,Sigourney-Keota,14,0
08-26-2022,Camanche,6,Dyersville Beckman,20,0
08-26-2022,Eldridge North Scott,47,Davenport North,7,0
08-26-2022,Storm Lake,0,Estherville-Lincoln Central,36,0
08-26-2022,Griswold,22,Exira-Elk Horn-Kimballton,61,0
08-26-2022,Mount Pleasant,20,Fairfield,41,0
08-26-2022,Lake Mills,6,Forest City,46,0
08-26-2022,Westside Ar-We-Va,19,Fort Dodge St Edmond,65,0
08-26-2022,Fort Madison,22,Keokuk,13,0
08-26-2022,Melcher-Dallas,0,Garden Grove Mormon Trail,74,0
08-26-2022,Preston Easton Valley,30,Gilbertville Don Bosco,34,0
08-26-2022,Gladbrook-Reinbeck,70,Buffalo Center North Iowa,13,0
08-26-2022,Atlantic,27,Glenwood,43,0
08-26-2022,Goose Lake Northeast,56,Bellevue,28,0
08-26-2022,Gowrie Southeast Valley,20,Truro Interstate-35,7,0
08-26-2022,Grundy Center,27,Eldora South Hardin,6,0
08-26-2022,Postville,12,Guttenberg Clayton Ridge,32,0
08-26-2022,Sheffield West Fork,7,Hampton-Dumont-CAL,44,0
08-26-2022,Hartley-Melvin-Sanborn,18,Hawarden West Sioux,38,0
08-26-2022,Hudson,37,Jesup,0,0
08-26-2022,Inwood West Lyon,7,Hull Western Christian,21,0
08-26-2022,Webster City,0,Humboldt,10,0
08-26-2022,Holstein Ridge View,6,Ida Grove O-A-BC-IG,47,0
08-26-2022,Independence,44,Maquoketa,9,0
08-26-2022,Indianola,26,Ankeny Centennial,20,0
08-26-2022,Iowa City Liberty,36,Iowa City High,19,0
08-26-2022,Jackson Junction Turkey Valley,46,Edgewood-Colesburg,26,0
08-26-2022,Jewell South Hamilton,34,Story City Roland-Story,28,1
08-26-2022,Keosauqua Van Buren,22,Donnellson Central Lee,20,0
08-26-2022,Lake View East Sac,7,Lake City South Central Calhoun,48,0
08-26-2022,Akron-Westfield,13,Lawton-Bronson,29,0
08-26-2022,Sergeant Bluff-Luton,14,LeMars,17,0
08-26-2022,LeMars Gehlen,21,Orange City Unity Christian,13,0
08-26-2022,Lenox,76,Seymour-Moulton-Udell,12,0
