Long name,Short name,Class,District,Conference
Ackley AGWSR,Ackley AGWSR,A,3,A-3
Adel ADM,Adel ADM,3A,6,3A-6
Afton East Union,Afton East Union,8,9,8-9
Akron-Westfield,Akron-Westfield,A,1,A-1
Albia,Albia,2A,7,2A-7
Alburnett,Alburnett,A,5,A-5
Algona,Algona,3A,2,3A-2
Algona Garrigan,Algona Garrigan,8,2,8-2
Alleman North Polk,Alleman North Polk,3A,2,3A-2
Alta-Aurelia,Alta-Aurelia,A,1,A-1
Ames,Ames,5A,2,5A-2
Anamosa,Anamosa,2A,5,2A-5
Anita CAM,Anita CAM,8,1,8-10
Ankeny,Ankeny,5A,1,5A-1
Ankeny Centennial,Ankeny Centennial,5A,6,5A-6
Aplington-Parkersburg,Aplington AP,1A,3,1A-3
Arlington Starmont,Arlington Starmont,A,4,A-4
Atlantic,Atlantic,3A,6,3A-6
Audubon,Audubon,8,1,8-10
Avoca AHSTW,Avoca AHSTW,A,7,A-7
Baxter,Baxter,8,7,8-7
Bedford,Bedford,8,9,8-9
Belle Plaine,Belle Plaine,A,6,A-6
Bellevue,Bellevue,A,4,A-4
Belmond-Klemme,Belmond-Klemme,1A,2,1A-2
Bettendorf,Bettendorf,5A,4,5A-4
Bloomfield Davis County,Davis County,2A,6,2A-6
Bondurant-Farrar,Bondurant-Farrar,4A,5,4A-5
Boone,Boone,4A,5,4A-5
Boyden-Hull-Rock Valley,Boyden-Hull-R Valley,3A,1,3A-1
Britt West Hancock,Britt West Hancock,A,2,A-2
Brooklyn BGM,Brooklyn BGM,8,7,8-7
Buffalo Center North Iowa,North Iowa,8,2,8-2
Burlington,Burlington,4A,3,4A-3
Bussey Twin Cedars,Bussey Twin Cedars,8,7,8-7
Calmar South Winneshiek,South Winneshiek,A,4,A-4
Camanche,Camanche,2A,5,2A-5
Carlisle,Carlisle,4A,5,4A-5
Carroll,Carroll,3A,1,3A-1
Carroll Kuemper,Carroll Kuemper,1A,8,1A-8
Cascade Western Dubuque,Cascade,1A,4,1A-4
Cedar Falls,Cedar Falls,5A,3,5A-3
Cedar Rapids Jefferson,CR Jefferson,5A,5,5A-5
Cedar Rapids Kennedy,CR Kennedy,5A,3,5A-3
Cedar Rapids Prairie,CR Prairie,5A,5,5A-5
Cedar Rapids Washington,CR Washington,4A,4,4A-4
